"Actief","Enabled"
"Titel van de betaalmethode","Label of the payment method"
"Nieuwe order status","New order status"
"De status die een order moet krijgen bij het toevoegen","The status the order gets on creation"
"Gelukt order status","Paid order status"
"De status die een order moet krijgen na succesvolle betaling","The status the order gets after a successful payment"
"Extra kosten rekenen","Charge payment fee"
"Geef hier aan of u extra kosten wilt rekenen op basis van een percentage van het totaalbedrag of een vast bedrag","If you want to charge a fee for this payment method, you can select if you want to charge a fixed amount or a percentage here"
"Extra kosten","Payment charge"
"Geef hier aan hoeveel extra kosten u wilt rekenen, gebruik een punt voor decimalen, als u geen extra kosten wilt rekenen vult u niets in","How much is the payment fee, use a point for decimals, if you don’t want to charge a fee leave this empty"
"Btw voor extra kosten","VAT for payment fee"
"Bevestigingsmail sturen","Send confirmation email"
"Wanneer wilt u dat de bevestigingsmail wordt verstuurd","When do you want the confirmation email to be sent"
"Emailen bij factureren","Email when invoicing"
"Een email sturen met de factuur, LET OP: De email wordt alleen gestuurd als je bovenaan bij Algemene instellingen emailen bij factureren aan hebt staan","Send an email when invoicing, CAUTION: Will only work if invoicing is enabled under general settings"
"Betaalmethode sorteer volgorde","Payment method sort order"
"Minimum bedrag","Minimum order amount"
"Het minimum bedrag waarvoor deze betaalmethode gebruikt mag worden","The minimum order amount for which this payment method is valid"
"Maximum bedrag","Maximum order amount"
"Het maximum bedrag waarvoor deze betaalmethode gebruikt mag worden","The maximum order amount for which this payment method is valid"
"Beschikbaarheid per land","Availability per country"
"Toegestane landen","Allowed countries"
"Selecteer de landen waarvoor deze betaalmethode beschikbaar is","Select the countries where this payment method is available"
"Schakel dit in als u deze betaalmethode wilt blokkeren voor bepaalde verzendmethoden","Enable this if you want to block this payment method for certain shipping methods"
"Geblokkeerde verzendmethoden","Blocked shipping methods"
"Selecteer de verzendmethoden waarvoor deze betaalmethode NIET beschikbaar is","Select the shipping methods where this payment method is NOT allowed"
"Verzendmethoden blokkeren","Block shipping methods"
"Persoonlijk inschakelen","Use for private customers"
"Zakelijk inschakelen","Use for business customers"
"Geboortedatum vragen, zodat persoonlijke bestellingen rechtstreeks worden doorgestuurd zonder tussenscherm","Ask birthdate, so private orders contain all required information to process"
"Bedrijfsgegven vragen, zodat zakelijke bestellingen rechtstreeks worden doorgestuurd zonder tussenscherm","Ask company details, so business orders contain all required information to process"
"Nederlands", "Dutch"
"Engels", "English"
"Duits", "German"
"Spaans", "Spanish"
"Italiaans", "Italian"
"Frans", "French"
"Deens", "Danish"
"Noors", "Norwegian"
"Portugees", "Portuguese"
"Russisch", "Russian"
"Zweeds", "Swedish"
"Turks", "Turkish"
"Browser taal gebruiken", "Use browser language"
"Gelijke verzend- en factuuradressen", "Equal shipping and invoice addresses",
"Schakel dit in als het verzend en factuuradres gelijk aan elkaar moeten zijn", "Enable this if the shipping and invoice addresses are required to be the same"
"Valutas blokkeren", "Limit currencies"
"Schakel dit in als u deze betaalmethode wilt blokkeren voor bepaalde valutas", "Enable this if you want to limit currencies for this payment method"
"Toegestane Valuta's", "Allowed currencies"
"Selecteer de valutas waarvoor deze betaalmethode beschikbaar is", "Select the currencies that are allowed for this payment method"
