"Order uncanceled","Ordine non cancellato"
"Success pagina","Pagina in caso di esito positivo"
"De pagina waar de gebruiker naartoe gestuurd moet worden bij een geslaagde betaling","La pagina in cui l'utente viene reindirizzato dopo un pagamento andato a buon fine"
"Pending pagina","Pagina di attesa"
"De pagina waar de gebruiker naartoe gestuurd moet worden wanneer de betaalstatus nog pending is (bijv. bij paypal komt de statusupdate later)","la pagina in cui l'utente viene reindirizzato quando il pagamento è ancora in sospeso. Alcuni metodi di pagamento non vengono elaborati immediatamente, quindi, generalmente, mostri qui la pagina con l' esito positivo."
"Mislukt pagina","Pagina di esito negativo."
"De pagina waar de gebruiker naartoe gestuurd moet worden bij een mislukte/geannuleerde betaling","La pagina alla quale l'utente deve essere indirizzato quando un pagamento è fallito o annullato"
"Gebruikers taal","Lingua dell'utente"
"De taalcode die naar pay.nl moet worden gestuurd, dit is van invloed op de taal van het betaalscherm en de eventuele email die naar de gebruiker wordt gestuurd door pay (bijvoorbeeld bij bankoverschrijving)","Il codice della lingua da aggiungere alla transazione. Sia la schermata di pagamento, sia le email che invieremo al cliente  saranno  visualizzate in questa lingua."
"Icoontjes weergeven","Mostra le icone"
"Icoontjes bij de betaalmethoden weergeven","Mostra le icone dei metodi di pagamento nel checkout"
"Betaalkosten weergeven","Mostra i costi del metodo di pagamento"
"Kosten voor de betaalmethode weergeven in de checkout","Mostra i costi del metodo di pagamento nel checkout"
"Selecteer hoe groot de icoontjes van de betaalmethoden moeten zijn","Seleziona la dimensione delle icone di pagamento"
"Text betalingskosten","testo del pagamento"
"De text die wordt weergegeven bij de betalingskosten","Il testo visualizzato per i costi del pagamento"
"Gateway","Gateway"
"Gebruik de standard gateway, op <a href='http://status-pay.nl'>status-pay.nl</a> kunt u de status van onze techniek volgen","Usa il gateway standard, su <a href='http://status-pay.nl'>status-pay.nl</a> puoi visualizzare lo stato dei nostri servizi"
"Failover gateway","Failover del gateway"
"Vul hier de locatie van de failover gateway in die door pay.nl is verstrekt","Se necessario, inserisci l'ubicazione del gateway di failover fornito da pay.nl"
"Refunden inschakelen","Abilita il rimborso"
"Schakel dit uit indien u het rechstreeks refunden wilt uitschakelen","Disattivare questa opzione se non si desidera che il plugin sia in grado di rimborsare le transazioni"
"Alle betaalmethoden weergegeven in admin","Visualizza tutti i metodi di pagamento in admin"
"Schakel dit in om alle betaalmethoden selecteerbaar te maken in de admin, er wordt geen betaling gestart","Attiva questa opzione per rendere tutti i metodi di pagamento selezionabili nell'amministrazione, nessun pagamento viene avviato."
"Beschikbare betaalmethoden","Metodi di pagamento disponibili"
"Beschikbaar","Disponibile"
"Hierboven ziet u de betaalmethoden die voor uw account bij pay.nl beschikbaar zijn","I metodi di pagamento di cui sopra sono disponibili nel tuo account"
"Betaallink (alleen admin orders)","Paylink (Solo per ordini generati da admin)"
"Wilt u deze betaalmethode gebruiken","Vuoi usare questo metodo di pagamento?"
"Actief","Abilitato"
"Titel van de betaalmethode","Etichetta del metodo di pagamento"
"Nieuwe order status","Stato del nuovo ordine"
"De status die een order moet krijgen bij het toevoegen","Lo stato assegnato all'ordine in fase di creazione"
"Gelukt order status","Stato dell'ordine effettuato con successo"
"De status die een order moet krijgen na succesvolle betaling","Lo stato dell'ordine dopo un pagamento avvenuto con successo"
"Extra kosten rekenen","Sono addebitati costi aggiuntivi"
"Geef hier aan of u extra kosten wilt rekenen op basis van een percentage van het totaalbedrag of een vast bedrag","Se desideri addebitare una tariffa per questo metodo di pagamento, puoi scegliere se desideri caricare un importo fisso o una percentuale"
"Extra kosten","Costi aggiuntivi"
"Geef hier aan hoeveel extra kosten u wilt rekenen, gebruik een punt voor decimalen, als u geen extra kosten wilt rekenen vult u niets in","Costi aggiuntivi del pagamento, usa il punto come separatore dei decimali, se non vuoi aggiungere extra costi lascia il campo vuoto"
"Btw voor extra kosten","IVA per costi aggiuntivi del pagamento"
"Bevestigingsmail sturen","Invia email di conferma"
"Wanneer wilt u dat de bevestigingsmail wordt verstuurd","Quando vuoi che venga inviata l'email di conferma"
"Emailen bij factureren","Email al momento della fatturazione"
"Een email sturen met de factuur, LET OP: De email wordt alleen gestuurd als je bovenaan bij Algemene instellingen emailen bij factureren aan hebt staan","Inviare un messaggio di posta elettronica alla fatturazione, ATTENZIONE: Funzionerà  solo se la fatturazione è abilitata nelle impostazioni generali"
"Betaalmethode sorteer volgorde","Ordinamento dei metodi di pagamento"
"Minimum bedrag","Importo minimo per l'ordine"
"Het minimum bedrag waarvoor deze betaalmethode gebruikt mag worden","Importo minimo dell'ordine per questo metodo di pagamento"
"Maximum bedrag","Importo massimo"
"Het maximum bedrag waarvoor deze betaalmethode gebruikt mag worden","Importo massimo per questo metodo di pagamento"
"Beschikbaarheid per land","Disponibilità per paese"
"Toegestane landen","Paesi ammessi"
"Selecteer de landen waarvoor deze betaalmethode beschikbaar is","Seleziona i Paesi per il quale sarà disponibile questo metodo di pagamento"
"Schakel dit in als u deze betaalmethode wilt blokkeren voor bepaalde verzendmethoden","Abilita questa opzione se si desidera bloccare questo metodo di pagamento per determinati metodi di spedizione"
"Geblokkeerde verzendmethoden","Tipi di spedizione bloccati"
"Selecteer de verzendmethoden waarvoor deze betaalmethode NIET beschikbaar is","Seleziona il tipo spedizione per il quale questo metodo di pagamento NON è autorizzato"
"Verzendmethoden blokkeren","Blocca il tipo di spedizione"
"Persoonlijk inschakelen","Usa per clienti privati"
"Zakelijk inschakelen","Usa per clienti business"
"Geboortedatum vragen, zodat persoonlijke bestellingen rechtstreeks worden doorgestuurd zonder tussenscherm","Richiedi la data di nascita in modo che gli ordini personali contengano tutte le informazioni necessarie"
"Bedrijfsgegven vragen, zodat zakelijke bestellingen rechtstreeks worden doorgestuurd zonder tussenscherm","Richiedi i dettagli della società in modo che gli ordini business contengano tutte le informazioni necessarie"
